UF;Municipio;CEP
RJ;BARRA MANSA;27310020
SP;TAUBATE;12031620
ES;LINHARES;29906240
MG;POUSO ALEGRE;37557591
RJ;MENDES;26700000
SC;NOVA ERECHIM;89865000
SP;MONGAGUA;11730000
SP;OSASCO;06236020
SP;ITAPEVA;18408190
MG;TURMALINA;39660000
RJ;ANGRA DOS REIS;23930500
SP;CABREUVA;13315000
SP;CARAPICUIBA;06335140
MG;CAREACU;37582000
MG;RIO PIRACICABA;35940000
BA;ITAMARAJU;45836000
PE;IPOJUCA;55590000
SC;MORRO DA FUMACA;88830000
SC;CHAPECO;89814690
SE;ARACAJU;49015070
SC;TREZE TILIAS;89650000
SP;SUZANO;08663080
RS;SAO JOAO DA URTIGA;99855000
SP;ARACARIGUAMA;18147000
SP;TIETE;18530000
RN;APODI;59700000
MG;SANTA LUZIA;33030020
BA;CANDEIAS;43805200
SP;SANTO ANASTACIO;19360000
MT;GUARANTA DO NORTE;78520000
MG;CAMPOS ALTOS;38970000
RN;TIBAU DO SUL;59178000
RJ;SAO JOAO DE MERITI;25585560
RN;SAO MIGUEL;59920000
SP;SAO BERNARDO DO CAMPO;09781150
SC;ABELARDO LUZ;89830000
PB;CABEDELO;58101650
MS;DOURADOS;79801004
RJ;MESQUITA;26580111
RS;CAXIAS DO SUL;95059790
SP;CONCHAL;13835000
MA;MAIOBA;65137000
RS;MORRO REUTER;93990000
ES;GUARAPARI;29222260
SP;TATUI;18279400
SP;PORTO FELIZ;18540000
MS;CHAPADAO DO SUL;79560000
SP;CARAGUATATUBA;11675570
MT;ARAPUTANGA;78260000
MG;VESPASIANO;33200000
SP;GUAIRA;14790000
SP;JACAREI;12321020
RJ;TRES RIOS;25805025
RJ;BARRA DO PIRAI;27123120
GO;BURITI ALEGRE;75660000
RS;CRUZEIRO DO SUL;95930000
PR;TOLEDO;85903265
MG;ARAGUARI;38440238
PR;PORECATU;86160000
MG;MATOZINHOS;35720000
MG;PEDRINOPOLIS;38178000
RS;FAXINAL DO SOTURNO;97220000
SP;BALSAMO;15140000
SP;CAMPOS DO JORDAO;12460000
MG;PITANGUI;35650000
SC;ARARANGUA;88906072
PR;LIDIANOPOLIS;86865000
GO;ITUMBIARA;75503130
RJ;SAO JOSE DO VALE DO RIO PRETO;25780000
PR;SAO JOSE DOS PINHAIS;83035150
PB;CAJAZEIRAS;58900000
SC;BALNEARIO BARRA DO SUL;89247000
;;
MG;MURIAE;36884028
SC;MONTE CASTELO;89380000
MA;SAO LUIS;65043020
BA;REMANSO;47200000
PE;IGARASSU;53625365
MG;ITABIRA;35901079
SP;ICEM;15460000
MG;DIVINOPOLIS;35500006
SP;ARACATUBA;16015460
PR;RIO NEGRO;83880000
GO;CATALAO;75701010
BA;BARREIRAS;47800970
ES;ALEGRE;29500000
PR;SAO JOAO;85570000
RJ;PARACAMBI;26600000
RS;SERTAO SANTANA;92850000
SP;PEDREIRA;13920000
BA;URUCUCA;45680000
PB;CAMPINA GRANDE;58400042
SP;RIO GRANDE DA SERRA;09450000
SP;ITAPETININGA;18213200
SP;DIADEMA;09950450
SP;FRANCO DA ROCHA;07845170
RJ;ITAPERUNA;28300000
SP;SAO JOAO DA BOA VISTA;13874125
SP;AREIOPOLIS;18670000
SC;VIDEIRA;89567244
RJ;SILVA JARDIM;28820000
PR;QUITANDINHA;83840000
PA;BELEM;66055280
MG;ITABIRITO;35450000
SP;COTIA;06706225
SP;JALES;15708074
BA;JUAZEIRO;48902804
MT;CAMPINAPOLIS;78630000
SC;PICARRAS;88380000
PR;CAMPO LARGO;83630240
SC;ITAJAI;88307310
SP;SAO VICENTE;11380090
RJ;QUEIMADOS;26373320
MG;SANTANA DO PARAISO;35179000
GO;CARMO DO RIO VERDE;76340000
PE;PETROLINA;56320800
SP;FERRAZ DE VASCONCELOS;08541300
RS;SANTO ANGELO;98803304
MG;UNAI;38610019
CE;IBIAPINA;62360000
SP;ILHA SOLTEIRA;15385000
MG;UBERABA;38064750
RS;VICTOR GRAEFF;99350000
MT;CHAPADA DOS GUIMARAES;78195000
SC;TROMBUDO CENTRAL;89176000
SC;CACADOR;89500350
RS;ENCANTADO;95960000
SC;;89900000
MG;PATOS DE MINAS;38703484
SC;XANXERE;89820000
MG;TRES CORACOES;37411052
RJ;ITATIAIA;27580000
SP;CORDEIROPOLIS;13490000
RS;SAO MARCOS;95190000
PR;AMPERE;85640000
SP;EMBU;06807320
BA;FEIRA DE SANTANA;44085132
SP;VARGEM GRANDE DO SUL;13880000
MG;BOTELHOS;37720000
BA;IRECE;44900000
MG;AGUANIL;37273000
PR;PONTA GROSSA;84015340
RS;VACARIA;95200000
RS;FREDERICO WESTPHALEN;98400000
PE;GRAVATA;55645000
SP;SANTA FE DO SUL;15775000
SP;COLOMBIA;14795000
SC;ITAPEMA;88220000
MG;IBIRITE;32420040
RJ;JAPERI;26443130
RJ;ARMACAO DE BUZIOS;28950000
PR;BITURUNA;84640000
SE;LAGARTO;49400000
MG;PONTE NOVA;35430217
PB;CATOLE DO ROCHA;58884000
SP;ITAPEVI;06663095
SP;PIQUETE;12620000
MG;CAMPO BELO;37270000
RN;MOSSORO;59600230
RS;SANANDUVA;99840000
BA;CAMACARI;42827450
MG;MIRADOURO;36893000
MG;CONSELHEIRO LAFAIETE;36401270
MG;CARANGOLA;36800000
PA;REDENCAO;68552220
SC;SAO JOSE;88107350
PR;ICARAIMA;87530000
SP;FRANCA;14403194
RS;PANAMBI;98280000
PR;CIANORTE;87200161
SP;PERUIBE;11750000
DF;LAGO SUL;71680357
MG;PIRANGA;36480000
SC;ABDON BATISTA;89636000
PR;NOVA ESPERANCA;87600000
SP;VOTORANTIM;18117390
SP;IBITINGA;14940000
SP;SANTA RITA DO PASSA QUATRO;13670000
SP;TAMBAU;13710000
RO;ROLIM DE MOURA;76940000
MG;ITAJUBA;37505032
RS;NOVA PRATA;95320000
PR;PARANAVAI;87705190
RS;FARROUPILHA;95178408
SP;POMPEIA;17580000
SP;ORLANDIA;14620000
ES;MUNIZ FREIRE;29380000
RN;NATAL;59054550
MG;DIAMANTINA;39100000
MG;MIRABELA;39373000
RS;CANELA;95680000
GO;QUIRINOPOLIS;75860000
PR;GUARAPUAVA;85010100
SC;LUZERNA;89609000
SC;SANTO AMARO DA IMPERATRIZ;88140000
MG;LUZ;35595000
SP;GUARIBA;14840000
RS;VIAMAO;94410000
MG;RIO POMBA;36180000
SP;AGUAS DA PRATA;13890000
AL;MARECHAL DEODORO;57160000
SP;SAO ROQUE;18133200
SP;TARUMA;19820000
MT;JACIARA;78820000
SP;BOITUVA;18550000
MG;JEQUERI;35390000
RS;GRAMADO;95670000
SP;AMPARO;13904535
SP;BATATAIS;14300039
PE;OLINDA;53130410
RJ;RIO BONITO;28800000
SP;MOCOCA;13736210
BA;NOVO TRIUNFO;48455000
RS;CARLOS BARBOSA;95185000
MG;GUARARA;36606000
MT;SINOP;78550200
RS;RIO GRANDE;96203000
MG;ALFENAS;37135014
MT;CAMPO VERDE;78840000
MS;SIDROLANDIA;79170000
SP;PIRAJU;18800000
RS;HERVAL;96310000
SP;DOURADO;13590000
SP;ANDRADINA;16901050
SP;MATAO;15991580
PI;IPIRANGA DO PIAUI;64540000
SC;CAMPOS NOVOS;89620000
SC;LAGES;88523000
RS;SANTA BARBARA DO SUL;98240000
PR;GRACIOSA;87722000
RS;CANGUCU;96600000
MG;CASSIA;37980000
SP;CERQUILHO;18520000
SP;TAGUAI;18890000
SP;GARCA;17400000
RS;ARROIO DOS RATOS;96740000
SP;QUELUZ;12800000
BA;PIRITIBA;44830000
SP;VARZEA PAULISTA;13225530
SP;PIRATININGA;17498038
SP;RANCHARIA;19600000
SP;CAJAMAR;07791010
MG;CURVELO;35790000
RS;DOIS IRMAOS;93950000
MG;CATAGUASES;36770034
MG;CARMOPOLIS DE MINAS;35534000
GO;SANTA HELENA DE GOIAS;75920000
MG;ERVALIA;36555000
SP;CAIEIRAS;07714120
PR;UMUARAMA;87508260
PA;ANANINDEUA;67013710
SP;PINDAMONHANGABA;12403010
SP;BIRIGUI;16200145
PR;FOZ DO IGUACU;85867633
RS;VERANOPOLIS;95330000
SP;BENTO DE ABREU;16790000
PA;ALTAMIRA;68372567
CE;UBAUNA;62168000
MG;BAMBUI;38900000
ES;CASTELO;29360000
BA;RIBEIRA DO POMBAL;48400000
SP;BRAGANCA PAULISTA;12917052
MG;PRADOS;36320000
MG;PERDOES;37260000
SE;CAMPO DO BRITO;49520000
AL;SANTANA DO IPANEMA;57500000
SP;GUAPIACU;15110000
SC;MAFRA;89300052
SP;PORTO FERREIRA;13661118
SP;URANIA;15760000
SE;BARRA DOS COQUEIROS;49140000
SP;PENAPOLIS;16300017
MG;CARATINGA;35300047
SP;ARACOIABA DA SERRA;18190000
PR;PARANAGUA;83221060
SP;AGUAS DE LINDOIA;13940000
RS;DOM PEDRITO;96450000
PR;PALMAS;85555000
RS;TAQUARI;95860000
MG;PATROCINIO;38747076
MS;BONITO;79290000
SC;XAXIM;89825000
RS;SAPUCAIA DO SUL;93210000
RS;ARROIO DO MEIO;95940000
PR;SERTANOPOLIS;86170000
RS;TAPEJARA;99950000
SP;MONTE ALTO;15910000
RS;SANTA MARIA;97015274
PR;PALMEIRA;84130000
SP;RIO DAS PEDRAS;13390000
SC;POMERODE;89107000
SP;MIGUELOPOLIS;14530000
RS;CAPAO DA CANOA;95555000
SP;NHANDEARA;15190000
PR;MARMELEIRO;85615000
PR;SANTA TEREZINHA DE ITAIPU;85875000
SC;MARACAJA;88915000
CE;HORIZONTE;62880231
PR;TELEMACO BORBA;84264190
MA;SANTA INES;65300222
RJ;BARRA DE SAO JOAO;28880000
SP;TUPA;17600380
BA;CARINHANHA;46445000
SP;ILHABELA;11630000
SC;GASPAR;89114854
SP;ITARARE;18460000
SP;TANABI;15170000
SP;ADAMANTINA;17800000
BA;SENHOR DO BONFIM;48970000
SC;FRAIBURGO;89580000
MS;MARACAJU;79150000
SP;JABOTICABAL;14890330
SP;BRODOWSKI;14340000
SC;SAO JOSE DO CEDRO;89930000
CE;JUAZEIRO DO NORTE;63040300
SP;ITAQUAQUECETUBA;08584500
RS;SAO LEOPOLDO;93050070
MG;CAMPESTRE;37730000
MG;ALPINOPOLIS;37940000
SP;SAO JOAO DAS DUAS PONTES;15640000
SP;AVARE;18703030
RS;SAO JOSE DO OURO;99870000
BA;JAGUAQUARA;45345000
SP;FERNANDOPOLIS;15607050
GO;LUZIANIA;72855042
ES;PAULISTA;29815000
RS;GRAVATAI;94170312
RJ;SAQUAREMA;28994868
SP;CAPAO BONITO;18300492
SP;MAIRIPORA;07600000
GO;MINEIROS;75830299
PR;PIRAI DO SUL;84240000
MG;LAGOA SANTA;33400000
RJ;SEROPEDICA;23898006
SP;IRAPURU;17880000
SP;JOSE BONIFACIO;15200000
MS;CASSILANDIA;79540000
SP;AREALVA;17160000
RS;SANTANA DO LIVRAMENTO;97573249
RS;CERRO LARGO;97900000
MG;RIBEIRAO DAS NEVES;33930330
SC;TIJUCAS;88200000
MG;LAGOA GRANDE;38755000
MG;SAO GERALDO;36530000
MG;PASSOS;37901044
PR;FRANCISCO BELTRAO;85601389
MG;JANUARIA;39480000
PR;PINHAO;85170000
MG;IBIRACI;37990000
AL;PORTO DE PEDRAS;57945000
SC;GUABIRUBA;88360000
BA;SAO FELIPE;44550000
PR;MARECHAL CANDIDO RONDON;85960000
BA;NOVA SOURE;48460000
SP;ARUJA;07428190
MG;SAO LOURENCO;37470000
SP;SANTA CRUZ DO RIO PARDO;18900000
RS;NOVA ARACA;95350000
RS;SARANDI;99560000
SP;ITOBI;13715000
GO;JATAI;75806280
PR;CASTRO;84165120
SP;SAO JOAQUIM DA BARRA;14600000
MG;BORDA DA MATA;37564000
SP;IACANGA;17180000
SP;PANORAMA;17980000
MT;JUINA;78320000
BA;IGRAPIUNA;45443000
BA;SANTO ANTONIO DE JESUS;44571350
MG;SAO GONCALO DO RIO ABAIXO;35935000
SC;IBIRAMA;89140000
MT;NOVA MUTUM;78450000
MG;TAIOBEIRAS;39550000
AL;ARAPIRACA;57313130
MG;MATA VERDE;39915000
SP;ITAPECERICA DA SERRA;06850315
PR;BANDEIRANTES;86360000
MG;ARAXA;38183002
BA;TUCANO;48790000
SC;IMARUI;88770000
SP;LUCELIA;17780000
MG;PIUMHI;37925000
MG;JANAUBA;39445239
SP;JANDIRA;06618010
SC;TUBARAO;88704050
SP;SAO JOSE DO RIO PARDO;13720000
BA;GUANAMBI;46430000
MG;PARA DE MINAS;35661359
MG;OLIVEIRA;35540000
SP;BASTOS;17690000
MG;CAMBUQUIRA;37420000
SP;TREMEMBE;12120000
MG;OURO BRANCO;36420000
PE;JABOATAO DOS GUARARAPES;54013044
SC;PORTO UNIAO;89400000
RS;PAROBE;95630000
SC;CURITIBANOS;89520000
MG;CAETE;34800000
SC;PINHEIRO PRETO;89570000
MG;LAMBARI;37480000
RJ;PIRAI;27175000
SP;IBIUNA;18150000
PR;PITANGA;85200000
SP;OURINHOS;19905275
MG;CAPITOLIO;37930000
RS;ITAARA;97185000
SP;MONTE MOR;13190000
RJ;AREAL;25845000
PR;CORONEL VIVIDA;85550000
RS;NOVA SANTA RITA;92480000
MS;RIO VERDE DE MATO GROSSO;79480000
SP;BOFETE;18590000
PR;SAO MIGUEL DO IGUACU;85877000
RS;IGREJINHA;95650000
MG;BARROSO;36212000
PR;ROLANDIA;86600127
SP;GETULINA;16450000
RS;CAMPO BOM;93700000
SP;LEME;13613413
SC;GUARAMIRIM;89270000
SP;SANTO ANTONIO DO JARDIM;13995000
RS;ALVORADA;94810700
MG;INIMUTABA;39243000
SC;TRES BARRAS;89490000
PR;TUPASSI;85945000
SP;HOLAMBRA;13825000
RS;FORTALEZA DOS VALOS;98125000
MG;PARAISOPOLIS;37660000
PR;IVAIPORA;86870000
SP;DRACENA;17900000
RS;SAO PEDRO DO SUL;97400000
SP;MIRANDOPOLIS;16800000
MG;MALACACHETA;39690000
RJ;JAMAPARA;25887000
SP;UCHOA;15890000
RS;GETULIO VARGAS;99900000
SC;SAO FRANCISCO DO SUL;89240000
RS;BAGE;96400600
BA;EUNAPOLIS;45820120
SC;GAROPABA;88495000
CE;TRAIRI;62690000
RS;TRAMANDAI;95590000
SP;AMERICO BRASILIENSE;14820000
RS;FELIZ;95770000
MG;SANTA BARBARA;35960000
ES;BRACO DO RIO;29967000
MG;PEDRO LEOPOLDO;33600000
SC;CANOINHAS;89460000
SP;FLORIDA PAULISTA;17830000
PB;PATOS;58700370
SP;TUPI PAULISTA;17930000
PR;CORNELIO PROCOPIO;86300000
SP;ITANHAEM;11740000
MG;SANTANA DA VARGEM;37195000
SC;DOUTOR PEDRINHO;89126000
SC;SAO BENTO BAIXO;88867000
RS;TORRES;95560000
MG;ITUIUTABA;38304193
MG;ITAMARANDIBA;39670000
MS;BATAGUASSU;79780000
RJ;CACHOEIRAS DE MACACU;28680000
SP;CRUZEIRO;12712030
BA;PARIPIRANGA;48430000
SE;ITABAIANA;49509188
SP;ITAPIRA;13974345
PE;PARNAMIRIM;56163000
MG;ANDRADAS;37795000
RS;SAO BORJA;97670000
SP;JARDINOPOLIS;14680000
PR;BORRAZOPOLIS;86925000
PR;RONDON;87800000
RS;SANTA VITORIA DO PALMAR;96230000
SP;IPERO;18560000
MG;VISCONDE DO RIO BRANCO;36520000
RS;TRES DE MAIO;98910000
RS;URUGUAIANA;97501760
SP;CASTILHO;16920000
MG;RIO CASCA;35370000
ES;VIANA;29135088
SP;NOVA LUZITANIA;15340000
SP;SERTAOZINHO;14169188
PR;ARAUCARIA;83705010
CE;CRUZ;62595000
PB;BAYEUX;58306330
SP;PILAR DO SUL;18185000
SC;SOMBRIO;88960000
SP;CACAPAVA;12280070
SP;BARIRI;17250000
RS;PORTO MAUA;98947000
SP;SERRANA;14150000
PR;DOIS VIZINHOS;85660000
RJ;ITABORAI;24855256
RJ;VARRE-SAI;28375000
SC;SAO LUDGERO;88730000
RS;GARIBALDI;95720000
MG;ILICINEA;37175000
MT;SORRISO;78890000
SP;PIRANGI;15820000
PR;REALEZA;85770000
PR;CRUZEIRO DO OESTE;87400000
PB;PILOES;58393000
MG;FORMIGA;35570000
MG;LIBERDADE;37350000
ES;AFONSO CLAUDIO;29600000
ES;MARATAIZES;29345000
ES;BARRA DE SAO FRANCISCO;29800000
SC;JOACABA;89600000
SC;SCHROEDER;89275000
MG;INHAPIM;35330000
SP;TAQUARITINGA;15900000
SP;PARDINHO;18640000
MG;BOM DESPACHO;35600000
RN;CURRAIS NOVOS;59380000
SP;JACI;15155000
GO;CRIXAS;76510000
SP;PIRAPORA DO BOM JESUS;06550000
MG;AREADO;37140000
MG;SAO DOMINGOS DO PRATA;35995000
RS;ESTACAO;99930000
RS;NAO-ME-TOQUE;99470000
RS;MOSTARDAS;96270000
SP;FARTURA;18870000
ES;DOMINGOS MARTINS;29260000
PR;SAO JORGE DO IVAI;87190000
MG;MATIAS BARBOSA;36120000
BA;TREMEDAL;45170000
SP;PIRASSUNUNGA;13632466
MT;PRIMAVERA DO LESTE;78850000
SP;GAVIAO PEIXOTO;14813000
SP;NOVA ALIANCA;15210000
GO;APARECIDA DE GOIANIA;74905790
SE;NOSSA SENHORA DO SOCORRO;49160000
RS;MARAU;99150000
RS;SAO SEPE;97340000
PR;SAO JORGE DO PATROCINIO;87555000
SP;SAO PEDRO;13520000
GO;CALDAS NOVAS;75690000
SP;SANTA ROSA DE VITERBO;14270000
SC;SAO MIGUEL D'OESTE;89900000
PR;COLOMBO;83408030
MG;VARZEA DA PALMA;39260000
SP;CARDEAL;13355000
RJ;BOM JESUS DO ITABAPOANA;28360000
GO;GOIANAPOLIS;75170000
RS;BARRA DO RIBEIRO;96790000
SP;AGUAI;13860000
GO;FORMOSA;73805170
SP;PITANGUEIRAS;14750000
RJ;APERIBE;28495000
SP;FRANCISCO MORATO;07911030
GO;CERES;76300000
MG;SANTA MARIA DE ITABIRA;35910000
MG;JOAIMA;39890000
RN;SAO GONCALO DO AMARANTE;59291225
RJ;NILOPOLIS;26535338
MG;SANTA RITA DE CALDAS;37775000
PR;MARIALVA;86990000
MG;FELICIO DOS SANTOS;39180000
BA;LENCOIS;46960000
SC;GOVERNADOR CELSO RAMOS;88190000
SP;ESPIRITO SANTO DO PINHAL;13990000
SP;ITUPEVA;13295000
BA;MIGUEL CALMON;44720000
PR;FORMOSA DO OESTE;85830000
SP;POTIRENDABA;15105000
MG;CONGONHAL;37584000
CE;CRATO;63100045
RS;ROCA SALES;95735000
BA;CAMAMU;45445000
PR;MATINHOS;83260000
MG;BARAO DE COCAIS;35970000
RJ;BELFORD ROXO;26130010
MG;UBA;36500970
